6	mit	mit	P	APPR	Dat	12	pp	_	_
7	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	8	det	8	8
8	Tante	Tante	N	NN	Fem|Dat|Sg	6	pn	_	_
9	in	in	P	APPR	Dat	12	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	654	654
11	Kirche	Kirche	N	NN	Fem|Dat|Sg	9	pn	654	654
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	objc	_	_
13	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Möglich	möglich	A	ADJD	Pos|	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	655	655
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	übrigens	übrigens	A	ADV	_	2	adv	_	_
4	gar	gar	A	ADV	_	5	adv	_	_
5	nichts	nichts	P	PIS	_	2	obja	_	_
6	von	von	P	APPR	Dat	2	pp	_	_
7	ihr	ihr	P	PPER	3|Sg|Fem|Dat	6	pn	656	656
8	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	655	655
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	656	656
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	gesehn	gesehn	A	ADJD	_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	seit	seit	K	KOUS	_	13	konj	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	656	656
9	mit	mit	P	APPR	Dat	12	pp	_	_
10	Frau	Frau	N	NN	Masc|Dat|Sg	9	pn	_	_
11	Richter	Richter	N	NN	Masc|Dat|Sg	10	app	_	_
12	zurückgekommen	zurückkommen	V	VVPP	_	13	aux	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	0	root	103	103
3	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	3	adv	_	_
2	einmal	einmal	A	ADV	_	1	adv	_	_
3	gesehn	gesehn	A	ADJD	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	_	_
2	nicht	nicht	P	PTKNEG	_	3	adv	_	_
3	gesprochen	sprechen	V	VVPP	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	dacht	dacht	F	FM	_	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	661	661
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

