16	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ergeht	ergehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	ab	ab	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	kommt	kommen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
6	schnell	schnell	A	ADJD	Pos|	5	adv	_	_
7	zurück	zurück	P	PTKVZ	_	5	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Dort	dort	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	448	448
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Herr	Herr	N	NN	Masc|_|_	0	root	_	_
3	Besänftiger	Besänftiger	N	NN	Masc|_|_	2	app	_	_
4	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ein	ein	A	ART	Indef|Neut|Nom|Sg	4	det	_	_
3	hohles	hohl	A	ADJA	Pos|Neut|Nom|Sg|St|	4	attr	_	_
4	Echo	Echo	N	NN	Neut|Nom|Sg	5	subj	_	_
5	spottet	spotten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	meiner	meine	A	PPOSAT	_|_|_	0	root	729	729
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Kommen	kommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
3	Euer	ihr	P	PPER	2|Pl|_|Gen	0	root	_	_
4	Wohlgeboren	wohlgebären	V	VVPP	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Nur	nur	A	ADV	_	6	adv	_	_
3	ein	eine	A	ART	Indef|_|_|Sg	6	det	_	_
4	weniges	wenig	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
