6	längst	längst	A	ADV	_	3	adv	_	_
7	Wind	Wind	N	NN	Masc|_|Sg	3	obja	1815	1815
8	davon	davon	P	PROAV	_	3	pp	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	14	konj	_	_
11	etwas	etwas	A	PIAT	Neut|Nom|Sg	12	det	_	_
12	Ungeheueres	Ungeheueres	N	NN	Neut|Nom|Sg	14	subj	_	_
13	sich	sie	P	PRF	3|_|_	14	obja	_	_
14	vorbereitet	vorbereiten	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
15	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	199	199
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	12	obja	_	_
4	mit	mit	P	APPR	Dat	12	pp	_	_
5	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	7	det	199	199
6	intimsten	intim	A	ADJA	Sup|Fem|Dat|Sg|Wk|	7	attr	_	_
7	Busenfeindin	Busenfeindin	N	NN	Fem|Dat|Sg	4	pn	_	_
8	,	,	$	$,	_	0	root	_	_
